Date,Open,High,Low,Close,Volumn
2020-09-02,478.9900,479.0400,405.1206,447.3700,96176128
2020-09-01,502.1400,502.4900,470.5100,475.0500,90119419
2020-08-31,444.6100,500.1400,440.1100,498.3200,115847020
2020-08-28,2295.1200,2318.4900,2186.5200,2213.4000,20081176
2020-08-27,2180.4600,2295.6000,2142.5000,2238.7500,23693043
2020-08-26,2060.0000,2166.0000,2053.6291,2153.1700,14239382
2020-08-25,1974.8900,2027.9500,1968.0000,2023.3400,10658893
2020-08-24,2126.2750,2129.0000,1927.5200,2014.2000,20063621
2020-08-21,2044.7600,2095.4900,2025.0500,2049.9800,21489559
2020-08-20,1860.6800,2021.9900,1857.0600,2001.8300,20611796
2020-08-19,1865.0000,1911.0000,1841.2100,1878.5300,12205331
2020-08-18,1898.9900,1923.9000,1845.1100,1887.0900,16474491
2020-08-17,1677.0000,1845.8600,1672.8300,1835.6400,20023104
2020-08-14,1664.9900,1668.8000,1626.6400,1650.7100,12577614
2020-08-13,1611.0000,1651.1800,1567.2600,1621.0000,20425308
2020-08-12,1470.0000,1585.0000,1435.0000,1554.7600,21898834
2020-08-11,1396.0000,1420.0000,1365.0000,1374.3900,8625834
2020-08-10,1448.0000,1457.5000,1385.8400,1418.5700,7522264
2020-08-07,1499.5365,1499.7500,1415.0100,1452.7100,8896420
2020-08-06,1490.8300,1517.3100,1477.2600,1489.5800,5992313
2020-08-05,1492.9900,1499.8384,1468.3100,1485.0200,4978015
2020-08-04,1495.0100,1527.4100,1462.0000,1487.0000,8414990
2020-08-03,1449.2000,1509.8101,1444.3844,1485.0000,8809346
2020-07-31,1515.0000,1517.0500,1420.9800,1430.7600,12246960
2020-07-30,1488.0000,1513.2400,1471.0000,1487.4900,7621039
2020-07-29,1501.0000,1534.8100,1487.0000,1499.1100,9426893
2020-07-28,1504.0000,1564.7000,1474.4200,1476.4900,15808700
2020-07-27,1435.0000,1547.9400,1413.0003,1539.6000,16048669
2020-07-24,1416.0100,1465.0000,1366.5401,1417.0000,19396616
2020-07-23,1678.9500,1689.0000,1480.7700,1513.0700,24328504
